GeoFips,GeoName,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2
01000,Alabama,220305.3,220359.9,220538.7,222031.1,223030.4,224229.4,226283.6,227547.7,225887.3,208569.4,227249.5,227448.9,231794.4,233098.1,233262.8,236751.1,236482.7,236710.5,239032.4,242000.2,242878.0,243977.0,245845.8,248717.8,248659.8,250739.6
02000,Alaska,52862.3,52478.1,52406.0,52171.9,51848.1,51864.3,52977.9,52819.7,52321.5,48242.4,49759.1,51008.1,51163.7,51027.9,51471.8,52153.2,50074.2,50439.4,50687.4,51867.3,52603.5,53932.0,54828.4,54874.8,54710.6,54561.4
04000,Arizona,343691.8,344779.6,347833.1,349288.8,351655.7,356260.0,362967.1,367424.2,364001.8,345545.0,370730.4,379833.6,383197.7,390550.4,398028.3,408367.1,405972.9,408465.6,410845.9,415629.4,418484.3,421015.8,423551.0,426547.3,428803.1,432050.1
05000,Arkansas,125983.2,125955.3,126686.7,126859.7,126186.5,126266.0,127647.6,128780.0,128049.4,122108.1,131229.0,131977.2,134714.6,137904.2,137750.6,139485.1,138593.9,138183.9,139863.6,141601.5,142340.1,142045.3,142757.0,144299.8,146111.8,146642.3
06000,California,2810189.7,2840073.8,2870080.4,2883537.2,2909833.5,2954169.3,2989756.8,3024676.3,2983004.4,2751836.2,2978343.0,3020097.3,3078576.1,3130909.7,3175140.8,3232127.9,3191257.9,3180774.6,3186374.0,3177624.8,3222520.6,3228085.4,3262783.0,3281237.1,3331857.2,3354963.1
08000,Colorado,365126.3,364014.6,364299.1,367378.2,374316.4,380797.0,389693.4,390095.8,389810.2,359325.3,384244.7,387374.9,397732.3,403719.0,408545.7,415810.7,416912.4,413881.9,419518.6,424962.4,429620.0,436412.4,439703.2,442488.6,440600.9,443495.5
09000,Connecticut,275241.5,273039.9,276459.2,273590.6,272804.2,274020.5,275671.4,278405.5,267597.2,245440.0,263830.6,266193.0,264074.9,269429.2,271320.8,274529.9,276054.1,276897.4,279471.1,283481.0,282546.1,285462.8,287214.1,291290.9,291102.5,293086.6
10000,Delaware,69806.5,70094.3,71533.9,71991.0,73177.5,74262.8,75296.0,75775.0,73756.6,69267.4,73612.3,73390.8,74069.5,74372.8,74600.6,75585.3,77001.9,76889.3,77112.0,77593.8,76528.2,77790.2,78661.6,79077.5,78722.1,79347.5
11000,District of Columbia,136535.9,137772.8,139309.9,138608.5,136985.1,138437.8,139513.7,140702.1,140020.2,132784.2,137714.2,140044.6,139320.5,143032.3,144800.7,145411.9,145801.0,144409.4,143876.8,144131.1,144536.4,146642.7,145714.6,147203.3,146805.8,147570.3
12000,Florida,1045133.5,1044968.2,1055842.4,1055791.1,1071660.3,1077271.5,1089801.6,1100922.2,1086873.8,1003724.2,1089589.6,1098847.6,1123647.9,1159972.7,1182891.9,1215592.6,1213693.1,1229475.6,1250788.4,1265577.4,1280666.1,1281546.8,1296228.5,1312709.0,1324280.3,1334883.3
13000,Georgia,593085.2,598131.4,605185.9,607336.3,611817.8,617858.1,625225.3,628078.4,617000.7,569372.3,613661.1,618949.5,629942.7,637976.7,645738.5,658397.1,656228.1,665049.8,666857.3,674577.3,668694.0,675644.1,681307.9,687158.7,693161.2,699113.5
15000,Hawaii,88417.7,89084.7,88940.8,88902.4,88668.7,88374.6,89018.8,89358.8,87005.1,74994.6,77572.3,79788.5,81276.3,84351.2,86407.7,85598.8,86379.9,86234.8,87106.0,87830.5,88027.3,88425.5,88640.6,89364.0,89641.2,89946.0
16000,Idaho,76819.9,77362.6,77912.6,78513.4,79670.9,80442.5,81760.4,82703.2,82620.5,77057.1,84895.8,86296.1,87583.5,87838.7,88426.8,92029.2,91749.5,92224.9,93057.5,94582.9,94876.9,94975.9,96162.0,97576.9,97950.6,99368.8
17000,Illinois,848564.8,849904.5,853713.7,853885.8,853067.6,856589.0,864431.7,857984.9,832702.0,764986.7,819347.9,823767.0,841918.7,853522.9,857513.3,870597.5,878185.4,873990.1,874761.8,879206.8,881185.1,882473.2,887438.6,891508.3,887516.3,893704.2
